2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/bzcx/queryGridRight],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseBzcxController.queryGridRight(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/bzcx/queryGrid],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseBzcxController.queryGrid(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/bzcx/queryKeyWords],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseBzcxController.queryKeyWords(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/diseaseManage/diseaseManage]}" onto public java.lang.String com.wondersgroup.cloud.view.disease.controller.DiseaseManagerController.index()
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/diseaseManage/queryGrid],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseManagerController.queryGrid(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/diseaseManage/queryDept_List],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseManagerController.queryDept_List(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/diseaseManage/queryTrend_zz],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseManagerController.queryTrend_zz(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/diseaseManage/queryZdbz_List],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseManagerController.queryZdbz_List(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/diseaseManage/queryTrend_jbp],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseManagerController.queryTrend_jbp(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/rzcxgj/rzcxgj]}" onto public java.lang.String com.wondersgroup.cloud.view.disease.controller.DiseaseRzcxgjController.index(javax.servlet.http.HttpServletResponse)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/zdbztz]}" onto public java.lang.String com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.index()
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryDept_List],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryDept_List(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryZdbz_List],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryZdbz_List(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryMzlz_ssczrc],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryMzlz_ssczrc(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryMzlzqz],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryMzlzqz(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryDfxswl],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryDfxswl(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryYLFKFS],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryYLFKFS(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryHzdyly_map],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryHzdyly_map(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryTime_Cost],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryTime_Cost(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/querySscz_tbzf],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.querySscz_tbzf(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryJcfy_Pjzyr],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryJcfy_Pjzyr(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryHzdyly_grid],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryHzdyly_grid(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/querySswc_gjgcb],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.querySswc_gjgcb(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryGridExport],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryGridExport(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryCgzl],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryCgzl(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryZdbz_bls],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryZdbz_bls(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryCyrc_tbzf],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryCyrc_tbzf(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryZyfy_tbzf],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryZyfy_tbzf(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryDrg_Cmi],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryDrg_Cmi(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/queryBar1],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.queryBar1(javax.servlet.http.HttpServletRequest)
2021-07-07 11:19:16 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/zdbztz/querySswc_gcb],methods=[GET]}" onto public com.wondersgroup.cloud.pojo.base.ResponseResult com.wondersgroup.cloud.view.disease.controller.DiseaseZdbztzController.querySswc_gcb(javax.servlet.http.HttpServletRequest)
